split,label,label_name,subtype,aug_type,distortion_type,source_file,output_file
train,0,clean,standard_clean,none,,data\split\train\FAMILY-1\CHILD\FM001_C2.png,data\classifier_v4\train\clean\std_clean_0000__FAMILY-1__CHILD__FM001_C2.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-1\CHILD\FM001_C3.png,data\classifier_v4\train\clean\std_clean_0001__FAMILY-1__CHILD__FM001_C3.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-1\CHILD\FM001_C4.png,data\classifier_v4\train\clean\std_clean_0002__FAMILY-1__CHILD__FM001_C4.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-1\CHILD\FM001_C5.png,data\classifier_v4\train\clean\std_clean_0003__FAMILY-1__CHILD__FM001_C5.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-1\FATHER\FM001_F1.png,data\classifier_v4\train\clean\std_clean_0004__FAMILY-1__FATHER__FM001_F1.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-1\FATHER\FM001_F2.png,data\classifier_v4\train\clean\std_clean_0005__FAMILY-1__FATHER__FM001_F2.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-1\FATHER\FM001_F4.png,data\classifier_v4\train\clean\std_clean_0006__FAMILY-1__FATHER__FM001_F4.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-1\FATHER\FM001_F5.png,data\classifier_v4\train\clean\std_clean_0007__FAMILY-1__FATHER__FM001_F5.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-1\MOTHER\FM001_M1.png,data\classifier_v4\train\clean\std_clean_0008__FAMILY-1__MOTHER__FM001_M1.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-1\MOTHER\FM001_M2.png,data\classifier_v4\train\clean\std_clean_0009__FAMILY-1__MOTHER__FM001_M2.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-1\MOTHER\FM001_M4.png,data\classifier_v4\train\clean\std_clean_0010__FAMILY-1__MOTHER__FM001_M4.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-10\CHILD\FM010_C2.png,data\classifier_v4\train\clean\std_clean_0011__FAMILY-10__CHILD__FM010_C2.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-10\CHILD\FM010_C4.png,data\classifier_v4\train\clean\std_clean_0012__FAMILY-10__CHILD__FM010_C4.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-10\CHILD\FM010_C5.png,data\classifier_v4\train\clean\std_clean_0013__FAMILY-10__CHILD__FM010_C5.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-10\FATHER\FM010_F5.png,data\classifier_v4\train\clean\std_clean_0014__FAMILY-10__FATHER__FM010_F5.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-10\MOTHER\FM010_M1.png,data\classifier_v4\train\clean\std_clean_0015__FAMILY-10__MOTHER__FM010_M1.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-10\MOTHER\FM010_M2.png,data\classifier_v4\train\clean\std_clean_0016__FAMILY-10__MOTHER__FM010_M2.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-10\MOTHER\FM010_M3.png,data\classifier_v4\train\clean\std_clean_0017__FAMILY-10__MOTHER__FM010_M3.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-10\MOTHER\FM010_M4.png,data\classifier_v4\train\clean\std_clean_0018__FAMILY-10__MOTHER__FM010_M4.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-100\CHILD\FM100_C2.png,data\classifier_v4\train\clean\std_clean_0019__FAMILY-100__CHILD__FM100_C2.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-100\CHILD\FM100_C3.png,data\classifier_v4\train\clean\std_clean_0020__FAMILY-100__CHILD__FM100_C3.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-100\CHILD\FM100_C4.png,data\classifier_v4\train\clean\std_clean_0021__FAMILY-100__CHILD__FM100_C4.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-100\FATHER\FM100_F4.png,data\classifier_v4\train\clean\std_clean_0022__FAMILY-100__FATHER__FM100_F4.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-100\MOTHER\FM100_M2.png,data\classifier_v4\train\clean\std_clean_0023__FAMILY-100__MOTHER__FM100_M2.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-100\MOTHER\FM100_M4.png,data\classifier_v4\train\clean\std_clean_0024__FAMILY-100__MOTHER__FM100_M4.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-100\MOTHER\FM100_M5.png,data\classifier_v4\train\clean\std_clean_0025__FAMILY-100__MOTHER__FM100_M5.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-11\CHILD\FM011_C1.png,data\classifier_v4\train\clean\std_clean_0026__FAMILY-11__CHILD__FM011_C1.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-11\FATHER\FM011_F3.png,data\classifier_v4\train\clean\std_clean_0027__FAMILY-11__FATHER__FM011_F3.png
train,0,clean,standard_clean,none,,data\split\train\FAMILY-11\FATHER\FM011_F4.png,data\classifier_v4\train\clean\std_clean_0028__FAMILY-11__FATHER__FM011_F4.png
